"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F1",0,0,0,0,0,0,0,0,0
"F2",0,0,0,0,0,0,0,0,0
"F3",0,0,0,0,0,0,0,0,0
"F4",0,0,0,0,0,0,0,0,0
"F5",0,0,0,0,0,0,0,0,0
"F6",0,0,0,0,0,0,0,0,0
"F7",0,0,0,0,0,0,0,0,0
"F8",0,0,0,0,0,0,0,0,0
"F10",0,0,0,0,0,0,0,0,0
"F11",0,0,0,0,0,0,0,0,0
"F12",0,0,0,0,0,0,0,0,0
"F17",0,0,0,0,0,0,0,0,0
"F18",0,0,0,0,0,0,0,0,0
"F19",0,0,0,0,0,0,0,0,0
"F20",0,0,0,0,0,0,0,0,0
"F21",0,0,257391,0,0,5630,0,0,0
"F22",0,0,222996,0,326424,261467,0,0,0
"F28",0,0,0,0,0,0,0,0,0
"F29",0,0,0,0,0,0,0,0,0
"F30",0,0,0,0,0,0,0,0,0
"F32",0,0,0,0,0,0,0,0,0
"F33",0,0,0,0,0,0,0,0,0
"F34",0,0,0,0,0,0,0,0,0
"F35",31751099,21249214,17677353,16458459,16363038,15069084,12979268,11860028,0
"F36",0,0,0,0,0,0,0,0,0
"F37",0,0,0,0,0,0,0,0,0
"F39",0,0,0,0,0,0,0,0,0
"F45",0,0,0,260072,407754,0,362586,218173,0
"F46",0,0,0,109485,39880,0,48013,0,0
"F47",0,0,0,8980,0,0,10738,0,0
"F48",0,0,0,0,0,0,0,0,0
"F49",0,0,0,0,0,0,0,0,0
"F51",0,0,0,0,0,0,0,0,0
"F52",26121804,20993161,18444338,17666565,17717977,14000587,13562178,10939052,0
"F53",0,0,0,0,0,0,0,0,0
"F54",0,0,0,0,0,0,0,0,0
"F56",0,0,0,0,0,0,0,0,0
"F57",0,0,0,0,0,0,0,0,0
"F58",0,0,0,0,0,0,0,0,0
"F60",0,0,0,0,0,0,0,0,0
"F61",0,0,0,0,0,0,0,0,0
"F62",0,0,0,0,0,0,0,0,0
"F65",0,0,0,0,0,0,0,0,0
"F66",0,36427,0,0,0,58694,0,0,0
"F67",0,485467,0,0,0,292380,0,0,0
"F72",0,0,0,0,0,0,0,0,0
"F73",0,0,0,0,0,0,0,0,0
"F74",0,0,0,0,0,0,0,0,0
"F75",0,0,0,0,0,0,0,0,0
"F77",918165,1586463,1940754,1897058,2165837,1679210,1940431,1793021,0
"F86",0,0,0,0,0,0,0,0,0
"F87",0,0,0,0,0,0,0,0,0
"F88",0,0,0,0,0,0,403422,359746,0
"F89",672595,691466,742799,773404,428315,569358,624089,648181,468559
"F90",320696,437335,372233,509237,465758,371783,565531,544552,0
"F91",18525,16620,102937,0,21332,24458,39286,84530,0
"F103",0,303099,228016,265540,300876,254008,306352,244424,311834
"F104",0,0,0,0,0,0,0,0,0
"F115",0,0,0,0,0,0,0,0,0
"F117",0,0,0,0,0,0,0,0,0
"F118",0,0,0,0,0,0,0,0,0
"F119",784657,887671,799054,796860,844682,807293,898335,853604,0
"F120",0,445113,827612,745177,790871,763716,765863,822597,0
"F121",0,0,0,0,0,0,0,0,0
"F122",0,0,0,0,0,0,0,0,0
"F123",0,0,0,0,0,0,0,0,0
"F124",0,0,0,0,0,0,0,0,0
"F129",0,0,0,0,0,0,6692,0,0
"F130",0,0,0,0,0,0,0,0,0
"F131",0,0,0,0,0,0,7535,0,11158
"F134",0,0,0,0,0,16330,17267,0,37827
"F143",0,0,0,0,0,13195,6852,0,26087
"F144",0,0,0,0,0,0,0,0,18417
"F146",0,0,0,0,0,0,0,0,0
"F147",0,0,0,0,0,0,0,0,0
"F149",0,0,0,0,0,0,0,0,0
"F150",0,0,0,0,0,0,0,0,0
"F151",0,0,0,0,0,0,0,0,0
"F152",0,0,0,0,0,0,0,0,0
"F153",68327217,46133822,39185948,35786060,36175357,28143756,25815312,24263353,1992303
"F157",0,0,0,0,0,0,0,0,0
"F158",0,0,0,0,0,0,0,0,0
"F162",0,0,0,0,0,0,0,0,0
"F168",0,0,0,0,0,0,0,0,0
"F171",0,0,0,0,0,0,0,0,0
"F172",0,0,0,0,0,0,0,0,0
"F173",0,0,0,0,0,0,0,0,0
"F179",0,0,0,0,0,0,0,0,0
"F180",25371,0,0,0,0,0,0,0,0
"F182",0,0,0,0,0,0,0,0,0
"F183",0,0,0,0,0,0,0,0,0
"F184",0,0,0,0,0,0,0,0,0
"F185",0,0,0,0,0,0,0,0,0
"F186",0,0,0,0,0,0,0,0,0
"F187",0,0,0,0,0,0,0,0,0
"F188",0,0,0,0,0,0,0,0,0
"F189",0,0,0,0,0,0,0,0,0
"F190",0,0,0,0,0,0,0,0,0
"F191",305379,0,0,0,0,0,0,0,0
"F192",337942,0,0,0,0,0,0,0,0
"F193",8969,0,0,0,0,0,0,0,0
"F195",499701,762897,572119,563958,466598,216495,417545,0,0
"F196",316913,412931,449434,322730,382229,225218,215896,0,0
"F197",963353,875802,738546,709445,688889,467104,485841,0,0
"F198",0,0,0,0,0,0,0,0,0
"F199",0,0,0,0,0,0,0,0,0
"F200",0,0,0,0,0,0,0,0,0
"F201",0,0,0,0,0,0,0,0,0
"F202",0,0,0,0,0,1168423,0,0,0
"F204",0,0,0,0,0,117101,0,0,0
"F206",0,0,0,0,0,118921,0,0,0
"F207",0,0,0,0,0,0,0,0,0
"F208",0,0,0,0,0,0,0,0,0
"F209",0,0,0,0,0,0,0,0,0
"F210",0,0,0,0,0,0,0,0,0
"F211",0,0,0,0,0,0,0,0,0
"F212",0,0,0,0,0,0,0,0,0
"F213",0,0,0,0,0,0,0,0,0
"F214",0,0,0,0,0,0,0,0,0
"F215",0,0,0,0,0,0,0,0,0
"F216",0,0,0,0,0,0,0,0,0
"F217",0,0,0,0,0,0,0,0,0
"F219",0,0,0,0,0,0,0,0,0
"F220",0,0,0,0,0,0,0,0,0
"F221",0,0,0,0,0,0,0,0,0
"F224",0,0,0,0,0,25819,13913,80501,0
"F225",0,0,0,0,0,265802,201446,324471,0
"F235",0,0,0,0,0,0,0,0,0
"F239",0,0,0,0,0,0,0,0,0
"F240",0,0,0,0,0,0,0,0,0
"F241",0,0,0,0,0,0,0,0,0
"F242",0,0,275731,0,247181,0,337577,0,0
"F243",0,0,113343,0,75490,0,58458,0,0
"F244",0,0,0,0,0,0,0,0,0
"F245",0,0,0,0,0,0,0,0,0
"F246",0,0,0,0,0,0,0,0,0
"F247",0,0,0,0,0,0,0,0,0
"F248",0,0,0,0,0,0,0,0,0
"F250",0,0,0,0,0,0,0,0,0
"F251",0,0,0,0,0,0,0,0,0
"F252",0,0,0,0,0,0,0,0,0
"F253",0,0,0,0,0,0,0,0,0
"F255",45952234,38213995,34360516,31000285,31014277,21249827,20170947,17448507,0
"F256",193246061,136877720,118228717,109215578,110055457,107134606,96207090,87298023,0
"F257",0,0,0,0,0,0,0,0,0
"F258",0,0,0,0,0,0,0,0,0
"F259",0,0,0,0,0,0,0,0,0
"F260",0,0,0,0,0,0,0,0,0
"F262",0,0,0,0,0,0,0,0,0
